File,CHQ,Summary,NewSum,ExtractedSummary
1-131920785.xml.txt,"MESSAGE: Dear sir, I feel weak on my body aspecially in the morning. so I want to know the solution to my problem. because this is long time ago. in the body joints knees and arm. thanks.",What are the treatments for body weakness?,"
Please provide a one line summary of the health question in the format of a double quoted sentence.

```""What are the possible causes and remedies for persistent weakness in the body, particularly in the morning, including joints, knees, and arms?""```","What are the possible causes and remedies for persistent weakness in the body, particularly in the morning, including joints, knees, and arms?"
1-131373872.xml.txt,"SUBJECT: Bipolar and Generalized Anxiety Disorder
MESSAGE: I read about TMS Therapy.  Do you know anything about it?  Has it had success?  Also wondering about ECT?  Finally, I've been told acupuncture can help for mood disorders.  Is that true for mixed bipolar and generalized anxiety disorder along with meds?  Have you ever heard of this?",What are the treatments for bipolar disorder with generalized anxiety disorder?,"
The health question can be summarized as:

""Has TMS Therapy been successful in treating bipolar and generalized anxiety disorder? How about ECT? Can acupuncture help for mood disorders, including mixed bipolar and generalized anxiety disorder, in combination with medication?""

The question is wrapped in double quotes to indicate that it is a complete and coherent question, and the triple backquotes indicate that it is a detailed question with multiple parts.","Has TMS Therapy been successful in treating bipolar and generalized anxiety disorder? How about ECT? Can acupuncture help for mood disorders, including mixed bipolar and generalized anxiety disorder, in combination with medication?"
1-136968615.xml.txt,"SUBJECT: ClinicalTrials.gov - Question - specific study
MESSAGE: I'm woundering what over the counter medications I can take for autoimmune
nerve disorder. So please help me out. I'd really appreciate it.
Thank you",What are the treatments for autoimmune nerve disorder?,"
(i) The health question is: ""What over-the-counter medications can I take for an autoimmune nerve disorder?""

(ii) The health question is wrapped with double quotes.",What over-the-counter medications can I take for an autoimmune nerve disorder?
1-136264935.xml.txt,"SUBJECT: Anxiety
MESSAGE: How does one deal with anxiety and the looming feeling that I am about to have a heart attack?  I am taking clonazepam which helps but I would rather go back to the person I used to be without this condition.  How can I re-train my brain into not thinking a heart attach is about to hit me?",What are the non-drug treatments for anxiety?,"
To summarize the health question, it can be rephrased as follows:

""How can I re-train my brain to stop thinking that I am about to have a heart attack?""

This is a one-line question wrapped in double quotes.",How can I re-train my brain to stop thinking that I am about to have a heart attack?
1-132377705.xml.txt,"MESSAGE: dear sir, my name is [NAME] from India. actually sir my sister is 27 year old accouding to doctor she is a anemia pasent. loss of blood.plz sir any drug for anti anemia.plzzzzzzzzzzzz sir",What are the treatments for anemia?,"
The health question can be summarized as follows:

""What is the best treatment for anemia caused by blood loss in a 27-year-old woman from India?""",What is the best treatment for anemia caused by blood loss in a 27-year-old woman from India?
1-136744885.xml.txt,"SUBJECT: ClinicalTrials.gov - Question - general information
MESSAGE: Hello, my dad, 68 years old, has gastritis,  it did ache occasionally over the last several years. The other day, he went to hospital to have medical check-up with endoscopic ultrasonography, and found GIST with about 1cm in size. Doctor told him that he may consider surgery or not, it is up to him. What are we supposed to do? will it develop to bad condition? any suggestions?  I 'm looking forward to your early reply. Thank you so much.
Best Regards
[NAME]",What are the treatments and prognosis for a small GIST?,"
The health question is: ""What are we supposed to do? will it develop to bad condition? any suggestions?""",What are we supposed to do? will it develop to bad condition? any suggestions?
1-134741835.xml.txt,"SUBJECT: AML Cancer for one and half year old girl
MESSAGE: Hi, One and half year girl found AML Cancer with test and she is under chemotheraphy in  [LOCATION].  Please let me know second opinion how it would be in future. My Mobile No: [CONTACT]",What are the treatments and prognosis for a child with AML?,"
The health question is: ""What are the possible future outcomes for a 1.5 year old girl diagnosed with AML cancer and currently undergoing chemotherapy in [LOCATION]?""",What are the possible future outcomes for a 1.5 year old girl diagnosed with AML cancer and currently undergoing chemotherapy in [LOCATION]?
16624.txt,"SUBJECT: Can a 40 year old get throat cancer...
MESSAGE: I have drank a lot of alcohol and lots of drugs. Not very many fruits and vegetables. This year I have gotten strep throat twice and sore throats with ear aches. Antibiotics have taken 4 different kinds this year alone. Raspy voice, very painful when swallowing.",What are the risk factors and symptoms of throat cancer?,"
The health question can be summarized as follows:

""Can a 40-year-old person develop throat cancer due to heavy alcohol and drug use, lack of fruits and vegetables, and recurring strep throat and sore throats with ear aches, despite taking multiple antibiotics?""","Can a 40-year-old person develop throat cancer due to heavy alcohol and drug use, lack of fruits and vegetables, and recurring strep throat and sore throats with ear aches, despite taking multiple antibiotics?"
1-134741585.xml.txt,"SUBJECT: Radiation Therapy
MESSAGE: I have foot drop symptoms. I think radiation cause them last year. My left foot is numb tingling and inflaming. please help and call my cell phone for more comments :[CONTACT]","What are the symptoms of foot drop, and what are the treatments for it?","
The health question is: ""Did radiation therapy cause numbness, tingling, or inflammation in your left foot?""","Did radiation therapy cause numbness, tingling, or inflammation in your left foot?"
11591.xml.txt,"ClinicalTrials.gov - Question - general information.
 I am from Canada, was injured in august at work,,some neurologists that I have seen, have suggested that I might have complex regional pain syndrome, but due to my hand gnarling, they dismiss it. I have not been diagnosed, so I am trying to find a diagnosis so my arm could be repaired. Any suggestions would be very welcome.
Thank you! [NAME]",What are the symptoms of complex regional pain syndrome?,"
(i) The health question is a one-line question: ""I am from Canada, was injured in August at work, some neurologists that I have seen have suggested that I might have complex regional pain syndrome, but due to my hand gnarling, they dismiss it. I have not been diagnosed, so I am trying to find a diagnosis so my arm could be repaired. Any suggestions would be very welcome.""

(ii) The health question is wrapped with a double quote: """"""I am from Canada, was injured in August at work, some neurologists that I have seen have suggested that I might have complex regional pain syndrome, but due to my hand gnarling, they dismiss it. I have not been diagnosed, so I am trying to find a diagnosis so my arm could be repaired. Any suggestions would be very welcome.""""","I am from Canada, was injured in August at work, some neurologists that I have seen have suggested that I might have complex regional pain syndrome, but due to my hand gnarling, they dismiss it. I have not been diagnosed, so I am trying to find a diagnosis so my arm could be repaired. Any suggestions would be very welcome."
1-136441717.xml.txt,"SUBJECT: sideeffects from tecfedera
MESSAGE: Hello,
My name is [NAME]. I started taking Tecfedera sometime in April. As prescribed started with the 1/2 dose, and immediately had the flushing, swelling of my lips and nose. I called my Dr. he said it's not uncommon take an aspirin with every dose. I did, and  it seemed to lessen. I started the full dose. Everyday I took the pill, my pain increased! After a few weeks, the pain I usually had in flair ups, had now multiplied to an intolerable level! I stopped the Tecfedra. Unfortunately the pain did not! Until today, my pain level is at it maximum. Nothing I've taken such as Percocet, oxycodone etc. will not relieve it!! I've also since developed frequent  sweating and cellulitis on my left thigh and abdomen! Has anyone else had these problems? PLEASE! If so, tell me what they did to stop them!
Sincerely,
[NAME] cell [CONTACT]",What are the side effects of tecfidera?,"
The health question is: ""Have you experienced any side effects from taking Tecfedra, including flushing, swelling of the lips and nose, increased pain, frequent sweating, and cellulitis?""","Have you experienced any side effects from taking Tecfedra, including flushing, swelling of the lips and nose, increased pain, frequent sweating, and cellulitis?"
1-133386735.xml.txt,"SUBJECT: methadone causing COPD
MESSAGE: My daughter said there was a study done  and it concluded that methadone can cause COPD. Do you know if there is any truth to this and if so where can I get info on it. Thank you [NAME]",What are the side effects of methadone?,"
The health question is: ""Does methadone cause COPD?""",Does methadone cause COPD?
1-135130355.xml.txt,"SUBJECT: Hydrocortisone for 32 years, and counting
MESSAGE: There are serious side-effects to Hydrocortisone, and I have to take it because of panhypopituitarism. Are there any more tolerable replacements? Thank you! [NAME]",What treatments are available for panhypopituitarism aside from hydrocortisone?,"
The health question is: ""Are there any more tolerable replacements for Hydrocortisone for panhypopituitarism?""",Are there any more tolerable replacements for Hydrocortisone for panhypopituitarism?
16237.txt,"about Glucosamine Sulphate
Will Glucosamine Sulphate affect Kidney?   Will it increase the Potassium content in a person?",What are the side effects of glucosamine sulphate?,"
The health question above can be summarized as follows:

""Will Glucosamine Sulphate affect Kidney?""

Note that the question is now in a single line and wrapped with double quotes.",Will Glucosamine Sulphate affect Kidney?
13112.txt,"SUBJECT: ClinicalTrials.gov - Question - general information
MESSAGE: Can you please tell me the results of any clinical trials investigating a correlation between Buproprion (Wellbutrin) and cancer?  Is there a greater incidence of cancer rates with patients who have taken Buproprion long term as opposed to a control group?","What are the side effects of bupropion, including an increased risk of cancer?","
To summarize the health question, you can use the following one-liner:

""Has there been any clinical trial research on the correlation between Buproprion (Wellbutrin) and cancer? Are long-term Buproprion users at a higher risk of developing cancer compared to a control group?""",Has there been any clinical trial research on the correlation between Buproprion (Wellbutrin) and cancer? Are long-term Buproprion users at a higher risk of developing cancer compared to a control group?
1-120115415.xml.txt,"SUBJECT: Bedlam
MESSAGE: This pesticide was used to get rid of bed bugs where I live. It was sprayed in areas I had to sleep in, sleep sofa. I wasn't told about it and slept through 4 applications over a 10 week period. I have one lung and severe COPD. Should this have been used knowing about my respiratory issues>",What are the side effects of bedlam insecticide?,"
The health question is: ""Did you experience any adverse health effects after being exposed to the pesticide, particularly related to your respiratory issues?""","Did you experience any adverse health effects after being exposed to the pesticide, particularly related to your respiratory issues?"
1-121800835.xml.txt,"SUBJECT: Gout and Blood pressure
MESSAGE: I have had many gout attacks since i have been 30 years old now 70 . I take allopurinol and blood pressure meds . Before i took allopurinol i never had high blood pressure . Also i have developed basal cell skin cancer i have heard allopurinol will cause that . Reduces acid in your system ?",What are the side effects of allopurinol?,"
Here is the summary of the health question:

""What are the potential health risks associated with taking allopurinol for gout and blood pressure, and how does it affect the body's acid levels?""","What are the potential health risks associated with taking allopurinol for gout and blood pressure, and how does it affect the body's acid levels?"
16151.txt,MESSAGE: What is the best way to naturally treat a 7 yr old boy with ADHD? Without prescription medicine?,What are the non-drug treatments for ADHD?,"
Can you please summarize the health question in the format specified below:

(i) A one line question
(ii) Wrapped with a double quotes

Thank you

Answer: Sure! Here is the summarized health question:

""What is the best way to naturally treat a 7 yr old boy with ADHD? Without prescription medicine?""",What is the best way to naturally treat a 7 yr old boy with ADHD? Without prescription medicine?
1-123259335.xml.txt,"MESSAGE: I have celiac.disease and.need.to start.Coumadin (Warfarin). Also I'm very allergic to food coloring,.dyes.  What manufacturer has gluten and dye free warfarin ? Please help me. I  need to start taking it tomorrow.  Thank you very , much. [NAME]",What are the ingredients of warfarin and it is gluten and dye free?,"
(i) The health question is: ""What manufacturer has gluten and dye free warfarin?""

(ii) The question is wrapped in double quotes to indicate that it is a complete sentence.",What manufacturer has gluten and dye free warfarin?
1-136267957.xml.txt,"SUBJECT: Levothyroxin tab 0.05 MG
MESSAGE: I am happy to note that all of your medications are gluten free.  The Levothyroxin tab 0.05 MG is gluten free, ***IS THERE ANY DAIRY (including lactose, casein) in the Levothyroxin Tab 0.05 MG?
Thank you!",What are the ingredients of levothyroxin and is it dairy free?,"
You are required to summarize the health question into a one-line question delimited by double quotes, and also provide a summary of the question in (i) and (ii) above.

The summary of the question is: ""IS THERE ANY DAIRY (including lactose, casein) in the Levothyroxin Tab 0.05 MG?""","IS THERE ANY DAIRY (including lactose, casein) in the Levothyroxin Tab 0.05 MG?"
1-133752377.xml.txt,"SUBJECT: Gluten Free Inquiry
MESSAGE: I have gluten allergies and have taken Klor-Con, mfg by another drug company in the past, their pharmacist said it was gluten free.  Sandoz is a new mfg for me and I am wondering if their Klor-Con M20 Tabs 20meq contains any gluten.  The refill was  processed by  Express Scripts #03  on [DATE].  I am just starting this refilled prescription.",What are the ingredients of Klor-Con M20 and is it gluten free?,"
The health question is: ""Does Klor-Con M20 Tabs 20meq contain gluten?""",Does Klor-Con M20 Tabs 20meq contain gluten?
1-118297625.xml.txt,"SUBJECT: ingredients in Kapvay
MESSAGE: Is there any sufites   sulfates  sulfa  in Kapvay?  I am allergic.","What are the ingredients of Kapvay and is it free of sulfites, sulfates, and sulfa?","
Here is a detailed health question delimited by triple backquotes. Summarize the health question so that:

(i) It is a one line question.

(ii) It is wrapped with a double quotes.

The summarized question is:

""Is there any sulfites, sulfates, or sulfa in Kapvay? I am allergic.""","Is there any sulfites, sulfates, or sulfa in Kapvay? I am allergic."
1-137103247.xml.txt,"SUBJECT: Gluten Free Product?
MESSAGE: HI, I was just wondering the source of the MALTODEXTRIN (UNII: 7CVR7L4A2D) in your product DEXTROAMPHETAMINE SULFATE- dextroamphetamine sulfate tablet NDC Code(s): 0555-0952-02, 0555-0953-02 . I was prescribed this medication and just wanted to make sure it was sourced from corn or something besides wheat because I am allergic to gluten!",What are the ingredients of dextroamphetamine sulfate and is it gluten free?,"The health question can be summarized as follows:

""Is the MALTODEXTRIN (UNII: 7CVR7L4A2D) in the product DEXTROAMPHETAMINE SULFATE sourced from corn or wheat?""",Is the MALTODEXTRIN (UNII: 7CVR7L4A2D) in the product DEXTROAMPHETAMINE SULFATE sourced from corn or wheat?
1-131138715.xml.txt,"SUBJECT: Pneumococcal Polysaccharide - 23
MESSAGE: I received the Pnuemoccoal Polysaccharide 23 vaccine in 2009 at the age of 67 years. I was told I would never need the vaccine again. Is that still true or has the vaccine been updated? Should I get it again now at the age of 72?",What are the guidelines for updating pneumococcal polysaccharide 23 vaccine for persons 65 and over?,"
The health question can be summarized as: ""Did I need the Pneumococcal Polysaccharide 23 vaccine again after receiving it in 2009, and if so, at what age should I get it again?"" This is a one-line question wrapped in double quotes.","Did I need the Pneumococcal Polysaccharide 23 vaccine again after receiving it in 2009, and if so, at what age should I get it again?"
1-133676985.xml.txt,"SUBJECT: entire body is red with itching and sclera of eyes are red
MESSAGE: what causes the skin of the entire body to turn red including the sclera of the eyes.  Also there is itching of the skin.","What are the causes of red, itchy skin and sclera?","The question is a bit long, but you can summarize it into a one-liner like this:

""What causes redness and itching of the entire body, including the sclera of the eyes?""","What causes redness and itching of the entire body, including the sclera of the eyes?"
NF_79.txt,"SUBJECT: Pituitary gland/high level Vitamin D
MESSAGE: My sister has a high level of Vitamin D in her system/blood work.  Her specialist cannot find the cause.   Would there be any connection with her pituitary?   Had her thyroid gland removed 3 years ago, and cancer in breast/removed cancer and had radiation/cured 2 years ago.",What are the causes of high vitamin D levels?,"
The health question can be summarized as follows:

""Is there a connection between my sister's high level of Vitamin D in her system/blood work and her pituitary gland?""",Is there a connection between my sister's high level of Vitamin D in her system/blood work and her pituitary gland?
NF_244.txt,"SUBJECT: HELLP risk
MESSAGE: My sister had HELLP during her first pregancey and is viewed to to at high risk for it again. I was wondering what the risk of me having HELLP during my pregancey was","What are the causes of HELLP syndrome, and is there a genetic predisposition?","
The health question is: ""What is the risk of me having HELLP during my pregnancy?""",What is the risk of me having HELLP during my pregnancy?
1-134274365.xml.txt,"SUBJECT: frozen shoulder
MESSAGE: We have 14 siblings in our family , at least 10 of us has had a frozen shoulder.  We are wondering why?  should we be concerned?","What are the causes of frozen shoulder, and is there a genetic predisposition?","
(i) The health question can be summarized as: ""Why do I have a frozen shoulder?""
(ii) The question is wrapped in double quotes to indicate that it is a question asked by someone, rather than a statement.",Why do I have a frozen shoulder?
1-131054425.xml.txt,"SUBJECT: bowel movements
MESSAGE: whenever I eat ANYTHING within 10-15 minutes I start having slight stomach cramps and I have to rush to the bathroom and my stool is from slightly firm to liquid - what's causing this?  I'm afraid to eat out at restaurants - it's been happening for about 3 years now  I'm a 53 year old, 5', 7"" in height, african-american woman, never had children, about 50 lbs overweight",What are the causes of cramps and diarrhea after eating?,"(i) The health question is: ""What is causing my frequent bowel movements within 10-15 minutes of eating, with slightly firm to liquid stool?"" (ii) The question is wrapped in double quotes for clarity.","What is causing my frequent bowel movements within 10-15 minutes of eating, with slightly firm to liquid stool?"
1-136282055.xml.txt,"SUBJECT: suggest diet
MESSAGE: age 66.married.male.weight73kgs.bp120/80 no tablets used for bp,no blood sugar fasting 90 after meals120 i am a vegetarian,i am observing a gradual weight gain    how to control it   what is suggested food?",What are sucessful weight loss diets for vegetarians?,"The health question can be summarized as follows:

""What dietary changes can I make to control my gradual weight gain as a 66-year-old male vegetarian, with a BP of 120/80 and no blood sugar issues, but with a fasting blood sugar of 90 after meals?""","What dietary changes can I make to control my gradual weight gain as a 66-year-old male vegetarian, with a BP of 120/80 and no blood sugar issues, but with a fasting blood sugar of 90 after meals?"
10893.txt,"Shakiness.
 I have acquired a symptom of extreme internal body shaking. Sometimes I canyon even speak right or use a pen. A doctor yesterday asked if I had a recent thyroid checkup. I see my thyroid doc the end of March.  Usually they say my T4 levels are low. I'm confused when it comes to what levels the thyroid should be.  I also have chronic fibromyalgia.  Seems that is blamed on for a lot of my problems.  Thank you for this site.","What are normal thyroid levels, and can thyroid problems cause body tremors?","
(i) The health question can be summarized as: ""What are the normal T4 levels for a person with fibromyalgia?""

(ii) The health question is wrapped in double quotes to indicate that it is a complete and coherent question.",What are the normal T4 levels for a person with fibromyalgia?
16829.txt,"SUBJECT: Quary about PSA tests
MESSAGE: My grand father have examined PSA test value is 0.430 ng/ml.His age is 86 years.My question is this value is normal for his health or harmful?",What are age-specific reference ranges for PSA?,"
You can see that the question is already delimited by triple backquotes, and it is a one line question. However, I will provide you with a summary of the question in a more concise form:

""What is the normal PSA test value for an 86-year-old man, and is a PSA test value of 0.430 ng/ml considered normal or harmful?""","What is the normal PSA test value for an 86-year-old man, and is a PSA test value of 0.430 ng/ml considered normal or harmful?"
NF_58.txt,"SUBJECT: My girlfriend suffers from scoliosis
MESSAGE: She cries in pain and can't sleep at night do to this I believe it's the most common based on age because she wasn't born with it and I just wanna know how I should go about it  she's been to a doctor but they say with the surgery there's only a 50/50 chance of survival that's just what she told me but I really wish there's something I can do to help or something we can prevent the pain any type of help would be termendusly appreciated! She has had it for a whole now maybe a few months or so and she says the pain is increase wich is why I worry.",What are the treatments for scoliosis pain?,"(i) The health question is: ""How can I help my girlfriend manage her scoliosis pain and prevent it from increasing?""
(ii) The question is wrapped in double quotes to indicate that it is a complete and self-contained question.",How can I help my girlfriend manage her scoliosis pain and prevent it from increasing?
1-132720725.xml.txt,"SUBJECT: need to know about shingles
MESSAGE: I have had shingles on my face about 6 or 7 years ago.  Should I still get a shingles Vaccine?  I really need to know.  Stress is big in my life.",Should someone who had shingles get the vaccine?,"
(i) The health question can be summarized as: ""Should I still get a shingles vaccine?""

(ii) The question is wrapped in double quotes to indicate that it is a complete sentence.",Should I still get a shingles vaccine?
1-122912357.xml.txt,"SUBJECT: To shake or not to shake:  Qvar
MESSAGE: Hello- Please clarify whether or not Qvar is to be shaken before each use.
There is some discrepancy between the Kaiser box label, your own instructions, and a chart of inhalers my Dr. keeps in the office.
Pro-Air is very clear:  SHAKE!  Qvar is not clear.
Thank you,
[NAME]",Should a Qvar inhaler be shaken before use?,"
You are asked to summarize the health question in a one-line question, and wrap it with double quotes. Here is the summary:

""Is it necessary to shake Qvar before each use?""",Is it necessary to shake Qvar before each use?
1-133039497.xml.txt,"SUBJECT: Acetaminophen inactive ingredients
MESSAGE: My wife is severely allergic to Titanium Dioxide.  It is not listed in the inactive ingredients for Equate or Tylenol Acetaminophen on the package or on your page but other sources on the Internet claim it is used to coat the tablets to make them easier to swallow.  Are they coated with Titanium Dioxide and if so why is it not listed as an inactive ingredient?
Thanks, [NAME]",Is titanium dioxide an inactive ingredient in Equate acetaminophen or Tylenol acetaminophen?,"
The health question is: ""Is the Acetaminophen tablet coated with Titanium Dioxide?""

(i) It is a one line question.

(ii) It is wrapped with a double quotes.",Is the Acetaminophen tablet coated with Titanium Dioxide?
17136.txt,"SUBJECT: Relationship between Angelman Syndrome and pancreatitis
MESSAGE: Have any relationships been found between Angelman Syndrome and pancreatitis?  My son with AS had recurrent pancreatitis and finally passed away at 22 from pancreatitis.",Is there a connection between angelman syndome and pancreatitis?,"
(i) The health question can be summarized as: ""Has any relationship been found between Angelman Syndrome and pancreatitis?""

(ii) The question is wrapped with double quotes to indicate that it is a complete sentence.",Has any relationship been found between Angelman Syndrome and pancreatitis?
1-135900932.xml.txt,"SUBJECT: help me
MESSAGE: 24-year-old male. Wilson's illness severe stem cell therapy can be done? Please help us. Stem cell therapy is fit? We finance. Mongolia to treat this disease physicians, hospitals, nursing there.","Is stem cell therapy a treatment for Wilson's disease, and how can I find physician(s) or hospital(s) in Mongolia who specialize in it?","
(i) The health question can be summarized as: ""Can a 24-year-old male with Wilson's disease undergo severe stem cell therapy?""

(ii) The health question is wrapped with double quotes to enclose the entire question.",Can a 24-year-old male with Wilson's disease undergo severe stem cell therapy?
1-134864077.xml.txt,"SUBJECT: tysabri in ALS
MESSAGE: dear sir
My wife is 54 years old being diagnosed with ALS for the last 2 years. Currently she can,t use hands or legs, can,t talk properly but still can swallow soft food and breath. I heard that this TYSABRI injection can be of great help in my wife,s case. Please advice as soon as possible",Is natalizumab an effective treatment for ALS?,"
(i) The health question can be summarized as: ""Is TYSABRI injection a potential treatment option for my wife's ALS diagnosis?""

(ii) The health question is wrapped with a double quote, like this: ""Is TYSABRI injection a potential treatment option for my wife's ALS diagnosis?""",Is TYSABRI injection a potential treatment option for my wife's ALS diagnosis?
1-122892245.xml.txt,"SUBJECT: glucosmine sulfate caplets
MESSAGE: Question: when they are out of date...LOTF39460 EXP JA 2013.  Is there any real harm to contining to take these calets?",Is it harmful to take expired glucosmine sulfate caplets?,"
The health question is:

""Is there any real harm to continuing to take these caplets after the expiration date?""

It is a one-line question wrapped in double quotes.",Is there any real harm to continuing to take these caplets after the expiration date?
1-136435365.xml.txt,"SUBJECT: imitrex to be prescriped to 72 year old woman
MESSAGE: I was in hospital for pancretitis.  On the 2nd day I was doing ok but came down with a migraine headache.  I have not had one in 2 years. but have the imitrex  tab.  which I did not have in the hospital  They gave me Toradol injection and it worked.  but they told me I should not take imitex as an older person.  I plan to go to my internist.  but decide to ask this question.   thanks",Is imitrex contraindicated in the elderly?,"
The health question is: ""Can an 72 year old woman safely take Imitrex for a migraine headache, despite the doctor's warning that it may not be suitable for older patients?""","Can an 72 year old woman safely take Imitrex for a migraine headache, despite the doctor's warning that it may not be suitable for older patients?"
1-123529253.xml.txt,"SUBJECT: Parkinson's Disease
MESSAGE: Has etanercept been used to assist sufferers of Parkinson's Disease?  If so, how successful was this?
Thank you","Is etanercept a treatment for Parkinson's disease, and how did it perform?","
Answer: (i) The health question can be summarized as a one-line question: ""Has etanercept been used to assist sufferers of Parkinson's Disease?""

(ii) The health question is wrapped with a double quote: ""Has etanercept been used to assist sufferers of Parkinson's Disease?""",Has etanercept been used to assist sufferers of Parkinson's Disease?
16110.txt,"SUBJECT: EPI 747
MESSAGE: hi  My name is [NAME] My son, His age 4 month discovered it leigh disease infected from the mother side. and we have  full family history with the leigh disease.  my Daughter she lived for 7 years with the same disease, we have her Hospital reports, it is confirmed leigh Disease.  Kindly, if there is any hope for my son with EPI743 treatment, and we are appreciate to accept him in the treatment study.  i have a full reports for my son and the MRI. and all of it under your request.    Hope get your help ASAP because he is in the first stage. and we have a we are all hope he will be better.  Best Regards  [NAME]",Is EPI743 an effective treatment for leigh syndrome?,"
The health question can be summarized as: ""Is there any hope for my son's Leigh disease treatment with EPI743?""",Is there any hope for my son's Leigh disease treatment with EPI743?
1-131298175.xml.txt,"SUBJECT: ClinicalTrials.gov - Question - general information
MESSAGE: will dalfampridine be effective for people with spinal musclar atrophy. is this a possibility in the future",Is dalfampridine an effective treatment for spinal muscular atrophy?,"(i) The health question is: ""Will dalfampridine be effective for people with spinal muscular atrophy?""

(ii) The question is wrapped in double quotes to indicate that it is a complete sentence.",Will dalfampridine be effective for people with spinal muscular atrophy?
1-132341555.xml.txt,"SUBJECT: meloxicam
MESSAGE: Does this have to be taken everyday for it to work?  Can I just take it as needed or does it have to build up in my system....",How should meloxicam be used?,"
Please provide a summary of the health question in the format specified below:

(i) A one-line question: Does this have to be taken everyday for it to work?

(ii) Wrapped in double quotes: ""Does this have to be taken everyday for it to work?""",Does this have to be taken everyday for it to work?
84.txt,Testing. Where can someone be tested to determine a diagnosis of Adult Progressive Spinal Muscular Atrophy (Aran-Duchenne syndrome)?,How and where is Adult Progressive Spinal Muscular Atrophy diagnosed?,"
(i) The health question can be summarized as: ""Where can someone be tested to determine a diagnosis of Adult Progressive Spinal Muscular Atrophy (Aran-Duchenne syndrome)?"".

(ii) The health question is wrapped with double quotes to indicate that it is a single, complete question.",Where can someone be tested to determine a diagnosis of Adult Progressive Spinal Muscular Atrophy (Aran-Duchenne syndrome)?
1-135075637.xml.txt,"SUBJECT: Transderm Scop Patch (Placement options)
MESSAGE: Am trying to find info on patch placement. Any reason it cannot be placed in another hairless site besides behind the ear? A specific reason for it's placement there? Am a PACU nurse. We often use for post op nausea but cannot for plastic surgery of face/neck. Have one source that says ok from neck to waist, upper thigh or outer upper arm. Is this indeed acceptable placement? If not, why?
Thank you in advance
[NAME]",Where could the transdermal scopolamine patch be applied besides behind the ear?,"
The health question can be summarized as: ""Can the Transderm Scop patch be placed in other areas besides behind the ear? If not, why not?""","Can the Transderm Scop patch be placed in other areas besides behind the ear? If not, why not?"
NF_178.txt,"SUBJECT: sacral nerve stimulation
MESSAGE: How do I search for Instututions-doctors that perform sacral nerve stimulation procedures for fecal incontinence. I need the procedure, and I want to go to the place with the most experience.fecal incontinence",How can I find physician(s) or hospital(s) who specialize in sacral nerve stimulation for fecal incontinence?,"
Can you please help me summarize the health question in a one line question wrapped with double quotes?

Here is the summary you requested:
```""How do I search for institutions-doctors that perform sacral nerve stimulation procedures for fecal incontinence?""```",How do I search for institutions-doctors that perform sacral nerve stimulation procedures for fecal incontinence?
12675.txt,"Have been on methadone for four years.  I am interested in the rapid withdrawl under anesthesia, but do not have a clue where I can find a doctor or hospital who does this.  I also would like to know the approximate cost and if or what insurance companies pay for this.","How can I find physician(s) or hospital(s) who specialize in rapid methadone withdrawal under anesthesia, and the cost and insurance benefits for the procedure?","
You can summarize the health question as follows:

""Can you help me find a doctor or hospital that offers rapid withdrawal from methadone under anesthesia? I am interested in knowing the approximate cost and if insurance companies cover this procedure.""",Can you help me find a doctor or hospital that offers rapid withdrawal from methadone under anesthesia? I am interested in knowing the approximate cost and if insurance companies cover this procedure.
10942.xml.txt,"ClinicalTrials.gov - Question - general information.
 where can I find someone or some place in Boston Massachusetts to get thahlidomide treatments for melanoma, skin cancer
[NAME], [LOCATION]",How can I find physician(s) or hospital(s) in Boston who specialize in thalidomide treatments for melanoma?,"
The question is: ""Where can I find someone or some place in Boston, Massachusetts to get thalidomide treatments for melanoma, skin cancer?""","Where can I find someone or some place in Boston, Massachusetts to get thalidomide treatments for melanoma, skin cancer?"
NF_66.txt,"SUBJECT: Geriatric Psychiatrists - recommendations
MESSAGE: I'm looking for a geriatric psychiatrist in the sun city west, AZ area to do an evaluation for a loved one (male) who may be suffering from depression.  I'm looking for a psychiatrist that has experience working with older veterens who has a no nonsense, scientific approach.",How can I find geriatric psychiatrists in Sun City West Arizona?,"
The health question can be summarized as follows:

""What is the name of a geriatric psychiatrist in Sun City West, AZ who has experience working with older veterans and has a no-nonsense, scientific approach to treating depression?""","What is the name of a geriatric psychiatrist in Sun City West, AZ who has experience working with older veterans and has a no-nonsense, scientific approach to treating depression?"
1-131448457.xml.txt,"SUBJECT: Walgreens Low Dose Aspirin
MESSAGE: I noticed there is no listing for Walgreens Low Dose Aspirin. I am allergic to Providone and just started taking their low dose aspirin. I started having trouble breathing again and am trying to find their Binding ingredient to see if it is Povidone. Can you help?",Does Walgreens low dose aspirin contain povidone?,"(i) The health question is a one-line question: ""Can you help me find the binding ingredient of Walgreens Low Dose Aspirin?""

(ii) The health question is wrapped with double quotes: ""Can you help me find the binding ingredient of Walgreens Low Dose Aspirin?""",Can you help me find the binding ingredient of Walgreens Low Dose Aspirin?
11587.txt,"Pemphigus, vulgaris.
 I have a family member who is suffering from Pemphigus, vulgaris.  It has been going on for last 6 months she is a young lady ages 29yrs old, has been on steriods for treatment, i am worried if she can have a baby?",Does pemphigus vulgaris or steriod treatment for it affect female fertility?,"
(i) The health question is a one-line question: ""Can my family member with Pemphigus vulgaris have a baby?""

(ii) The health question is wrapped with double quotes: """"""Can my family member with Pemphigus vulgaris have a baby?""""",Can my family member with Pemphigus vulgaris have a baby?
